id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
885,Newark and Sherwood,"69-75 : Professional, scientific & technical","Green, Wilson, Smart, Young-Howe Dean",0-632k,0,United Kingdom,0,19.91336341,31.10177793,E07000175,Newark and Sherwood,0.654436634,0.252711923,,69-75,M,"Professional, scientific & technical",Factory
886,West Suffolk,41-43 : Construction,"Carter-Greenwood, Norman, Shepherd, Ellis, Taylor",0-632k,1,United Kingdom,0,4.569067566,17.3236124,E07000202,West Suffolk,0.308558407,0,,41-43,F,Construction,Shop
887,Hackney,"69-75 : Professional, scientific & technical","Norman-Hayes, Hammond, Taylor, Mason, Hall-Atkinson",0-632k,1,United Kingdom,0,2.132804379,1.542736812,E09000012,Hackney,0.073238022,0,,69-75,M,"Professional, scientific & technical",Shop
888,Moray,47 : Retail,"Price, Wilson, Morton, Henderson-Bishop, Lowe, Lloyd, Stevens",0-632k,1,United Kingdom,,,,S12000020,Moray,,,,47,G,Retail,Office
889,Wellingborough,"01-03 : Agriculture, forestry & fishing","Rees, Cook, Holloway-Cooper, Craig Jones-Ellis",0-632k,1,United Kingdom,0,19.44920319,13.67087542,E07000156,Wellingborough,0.106011118,0.011257163,,01-Mar,A,"Agriculture, forestry & fishing",Other
890,Cheshire West and Chester,"69-75 : Professional, scientific & technical","Archer, Carroll-Fletcher, O'Connor, Humphries Howard",0-632k,1,United Kingdom,0,4.648545166,5.047490478,E06000050,Cheshire West and Chester,0.189572598,0,,69-75,M,"Professional, scientific & technical",Shop
891,Ceredigion,68 : Property,"Rogers, Jackson, Bates, Hill-Chapman, Shah, Clark, Williams",0-632k,1,United Kingdom,0,18.64442339,7.669492257,W06000008,Ceredigion,0.213889275,0.017104319,,68,L,Property,Factory
892,South Staffordshire,"69-75 : Professional, scientific & technical","Patel-Hunter, Williams, Booth, Collins, Douglas, Mann, Williamson",0-632k,1,United Kingdom,0,4.409386892,5.575015692,E07000196,South Staffordshire,0.352754723,0,,69-75,M,"Professional, scientific & technical",Shop
893,Amber Valley,05-39 : Production,"Smith-Ryan, Read, Ward-Warren, Grant-Davies Oliver",0-632k,1,United Kingdom,0,3.865657672,4.224063788,E07000032,Amber Valley,5.696278317,0,,May-39,C,Production,Shop
894,Horsham,"69-75 : Professional, scientific & technical","Davies, Reed, Marsh, Curtis-Hall, Green",0-632k,1,United Kingdom,0,4.551253488,5.795790415,E07000227,Horsham,0.313327308,0,,69-75,M,"Professional, scientific & technical",Office
895,Newcastle-under-Lyme,46 : Wholesale,"Curtis, Russell-Sanders, Davies, Hanson, Smith",0-632k,0,United Kingdom,0,17.90200228,33.45915497,E07000195,Newcastle-under-Lyme,2.575958243,1.284985088,,46,G,Wholesale,Warehouse
896,Cornwall,49-53 : Transport & Storage (inc. postal),"Yates, Clarke-Wilson, Walton-Coleman, Smith Noble-Greenwood",0-632k,1,United Kingdom,0,18.8906282,15.71934266,E06000052,Cornwall,0.047492197,0.141471707,,49-53,H,Transport & Storage (inc. postal),Other
897,Fareham,"90-99 : Arts, entertainment, recreation & other","Robinson, Barry, Hammond, Russell, Butler, Cole, Harris",0-632k,1,United Kingdom,0,17.95132245,20.29914002,E07000087,Fareham,0,0.006075281,,90-99,T,"Arts, entertainment, recreation & other",Other
898,St Albans,86-88 : Health,"Wilson, Taylor, Thompson, Williams, Oliver, Butler, Wilson",0-632k,1,United Kingdom,0,3.482899021,3.961677653,E07000240,St Albans,0.80249619,0,,86-88,Q,Health,Office
899,Cornwall,"69-75 : Professional, scientific & technical","Whitehead, Ingram, Stevens, Hart, Jones",0-632k,1,United Kingdom,0,20.16372152,15.05291159,E06000052,Cornwall,0.111563739,0.027143853,,69-75,M,"Professional, scientific & technical",Other
900,East Lindsey,"69-75 : Professional, scientific & technical","Lloyd, Norman, White, Lewis, Hodgson-Moore",0-632k,1,United Kingdom,0,2.403425004,1.456022818,E07000137,East Lindsey,0.134159186,0,,69-75,M,"Professional, scientific & technical",Shop
901,Spelthorne,45 : Motor trades,"Fox, Hughes, Young, Harvey, Jones-Johnson",0-632k,1,United Kingdom,0,2.433370325,2.072127934,E07000213,Spelthorne,0.314053035,0,,45,G,Motor trades,Shop
902,Test Valley,68 : Property,"Richards, Smith, Hawkins, Bibi, Swift",0-632k,1,United Kingdom,0,7.682011554,6.968148049,E07000093,Test Valley,0.358598569,0.011909894,,68,L,Property,Warehouse
903,Hammersmith and Fulham,"90-99 : Arts, entertainment, recreation & other","Hayward, Mason, Smith, Thompson, Jackson, Collins, Reynolds",0-632k,1,United Kingdom,0,4.985063884,3.834572288,E09000013,Hammersmith and Fulham,0.092539068,0,,90-99,R,"Arts, entertainment, recreation & other",Office
904,Kirklees,46 : Wholesale,"Sharp-King, Johnson, Day-Hope, Barker-Gilbert Mason-Stokes",0-632k,1,United Kingdom,0,5.10455329,9.374216029,E08000034,Kirklees,1.120433063,0,,46,G,Wholesale,Office
905,Nottingham,64-66 : Finance & insurance,"Johnson, Smith, Taylor, Martin-O'Brien Allen",0-632k,1,United Kingdom,0,4.826357891,6.390422208,E06000018,Nottingham,0.036986053,0,,64-66,K,Finance & insurance,Office
906,Hackney,77-82 : Business administration & support services,"Mason, Brown, Yates, Taylor-Brown, Williams, Patel, Robson",0-632k,1,United Kingdom,0,1.726381585,1.11657426,E09000012,Hackney,0.058182824,0,,77-82,N,Business administration & support services,Shop
907,Eastleigh,"90-99 : Arts, entertainment, recreation & other","Evans, Jones, Taylor, Holland, Evans-Craig",0-632k,1,United Kingdom,0.024117508,19.02979479,11.47569569,E07000086,Eastleigh,0.444083828,0.03508502,,90-99,R,"Arts, entertainment, recreation & other",Factory
908,Highland,68 : Property,"Newman, Blackburn, Wood, Smith, Davis",0-632k,1,United Kingdom,,,,S12000017,Highland,,,,68,L,Property,Shop
909,Falkirk,86-88 : Health,"Price, Jenkins, Jones-Wilkinson, Norman-Carter Hall-Barker",0-632k,1,United Kingdom,,,,S12000014,Falkirk,,,,86-88,Q,Health,Warehouse
910,Fermanagh and Omagh,"69-75 : Professional, scientific & technical","Johnson, Wilson, Griffiths, Woodward, Hill, Turner, Arnold",0-632k,1,United Kingdom,,,,N09000006,Fermanagh and Omagh,,,,69-75,M,"Professional, scientific & technical",Office
911,Milton Keynes,49-53 : Transport & Storage (inc. postal),"Wright, Hawkins-Bray, Whitehead, Carr, Gill, Simpson, Smith",0-632k,1,United Kingdom,0.037705741,17.05510622,13.75491836,E06000042,Milton Keynes,0.413463771,1.773086314,,49-53,H,Transport & Storage (inc. postal),Warehouse
912,West Devon,"01-03 : Agriculture, forestry & fishing","Bowen-Collins, Hill, Watson, Rice, Patel",0-632k,1,United Kingdom,0,2.812155793,2.500298766,E07000047,West Devon,0.025541325,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
913,Elmbridge,05-39 : Production,"Leach, Hicks, Chan, Holmes, Evans, Brown, Richardson",0-632k,1,United Kingdom,9.896162384,30.16104355,31.66582408,E07000207,Elmbridge,33.06906024,0.048411145,,May-39,D,Production,Factory
914,Bury,41-43 : Construction,"Edwards, Kerr, Davies, Morley, Gill-Smith",0-632k,1,United Kingdom,0,18.04157625,17.87647955,E08000002,Bury,0.861760654,0.932192264,,41-43,F,Construction,Factory
915,City of Edinburgh,77-82 : Business administration & support services,"Hall-Donnelly, Hardy, Holland, Cartwright, Hill, Hopkins, Walton",0-632k,1,United Kingdom,,,,S12000036,City of Edinburgh,,,,77-82,N,Business administration & support services,Other
916,Warrington,05-39 : Production,"Taylor, Reynolds, Holt, Marshall Patel-Thomas",0-632k,1,United Kingdom,16.25515202,30.3884777,61.30009894,E06000007,Warrington,34.734408,1.399066484,,May-39,C,Production,Factory
917,Swale,"69-75 : Professional, scientific & technical","Robinson, Watts, Martin, Davis, Mann",0-632k,1,United Kingdom,0,25.14597758,23.02486786,E07000113,Swale,0.922096237,0.121776829,,69-75,M,"Professional, scientific & technical",Factory
918,Newcastle upon Tyne,68 : Property,"Evans-Hawkins, Garner-Ward, Johnson-Bennett, Roberts Murphy",0-632k,1,United Kingdom,0,4.598157345,6.627568433,E08000021,Newcastle upon Tyne,0.153253517,0,,68,L,Property,Office
919,Hackney,41-43 : Construction,"Parker-Fox, Cameron-Evans, Andrews, Harris, Lawrence, Sharp, Bradley",0-632k,1,United Kingdom,0,3.075053816,1.57660229,E09000012,Hackney,0.088392556,0,,41-43,F,Construction,Office
920,North Kesteven,"01-03 : Agriculture, forestry & fishing","Stokes, Humphries, Brooks, Clarke-Ward, Dean-Turner",0-632k,1,United Kingdom,0.000375902,16.63317859,11.95781725,E07000139,North Kesteven,0.073301472,0.017230237,,01-Mar,A,"Agriculture, forestry & fishing",Factory
921,Norwich,"90-99 : Arts, entertainment, recreation & other","Hayward, Lynch-Burns, Robinson-Pearce, Perkins-Hayes Williams",632k-10.2M,1,United Kingdom,0,3.862586997,4.666744937,E07000148,Norwich,0,0,,90-99,T,"Arts, entertainment, recreation & other",Office
922,Ceredigion,"01-03 : Agriculture, forestry & fishing","Abbott, Williams, Griffiths, Harrison-Buckley, Bates-Patel",0-632k,1,United Kingdom,2.38E-08,18.29252723,8.146004991,W06000008,Ceredigion,0.104552609,0.016164923,,01-Mar,A,"Agriculture, forestry & fishing",Factory
923,Mid Sussex,46 : Wholesale,"King, Fisher, Richards, Hunt, Knowles, Brown, Townsend",0-632k,1,United Kingdom,0,2.066323813,2.423430458,E07000228,Mid Sussex,0.34055983,0,,46,G,Wholesale,Shop
924,Wakefield,55-56 : Accommodation & food services,"O'Brien, Gill, Ellis, Stephens, Mills-Evans",0-632k,1,United Kingdom,0,3.313993542,6.7672687,E08000036,Wakefield,0.502652744,0,,55-56,I,Accommodation & food services,Shop
925,Wandsworth,55-56 : Accommodation & food services,"Nicholls, Humphries, McDonald, Singh-Newman, Baker-Richards",0-632k,1,United Kingdom,0,3.692274184,5.785560055,E09000032,Wandsworth,0.371301979,0,,55-56,I,Accommodation & food services,Office
926,Newark and Sherwood,85 : Education,"Phillips, Gilbert, Parker, Freeman-Archer, Chambers, Burrows, Thomson",0-632k,1,United Kingdom,0.022307362,18.61661369,38.11339473,E07000175,Newark and Sherwood,1.329622066,0.023614288,,85,P,Education,Factory
927,Barnet,41-43 : Construction,"Baxter, Collins, Hawkins, May-McCarthy, Powell",0-632k,1,United Kingdom,0,1.254933225,1.659016678,E09000003,Barnet,0.052629771,0,,41-43,F,Construction,Shop
928,Harborough,"69-75 : Professional, scientific & technical","Taylor, Sharp, Moore, Farrell, Patel, Watson, Williams",0-632k,1,United Kingdom,0,4.33300814,4.742705315,E07000131,Harborough,0.702913178,0,,69-75,M,"Professional, scientific & technical",Office
929,Teignbridge,"01-03 : Agriculture, forestry & fishing","Green, John-Davies, Clarke, Barnes, Marsh, Sanders, May",0-632k,1,United Kingdom,0,7.433243731,8.046504579,E07000045,Teignbridge,0.07585753,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
930,Birmingham,"90-99 : Arts, entertainment, recreation & other","Heath, Williams, Evans, Lane-Fuller, Bird",0-632k,1,United Kingdom,0,5.32979308,8.097734048,E08000025,Birmingham,0.104390576,0,,90-99,R,"Arts, entertainment, recreation & other",Office
931,Wolverhampton,41-43 : Construction,"Smith, Smith, Davies, Smith-Mason, Forster, Taylor, Taylor",0-632k,0,United Kingdom,0,2.455695659,3.013080355,E08000031,Wolverhampton,0.230039382,0,,41-43,F,Construction,Shop
932,Hackney,77-82 : Business administration & support services,"Bryant, Kelly, Richardson, Jackson, Winter-Jones",0-632k,1,United Kingdom,0,14.69553309,9.628680897,E09000012,Hackney,0.133019847,0.036938703,,77-82,N,Business administration & support services,Other
933,Salford,46 : Wholesale,"Myers, Perry, Reid, Hughes, Pearce, Williams, Young",0-632k,1,United Kingdom,0,6.722478418,10.45997971,E08000006,Salford,1.026575239,0.240915025,,46,G,Wholesale,Warehouse
934,Amber Valley,47 : Retail,"Harrison-Morton, Miles, Allen, Dale, Allen, Evans, Thomas",632k-10.2M,0,United Kingdom,0,9.888528649,11.51363087,E07000032,Amber Valley,1.912312735,0,,47,G,Retail,Office
935,Cheshire West and Chester,58-63 : Information & communication,"Bentley-Cooper, Williams, Cole, Cook, Dawson",0-632k,1,United Kingdom,0,59.6990701,71.86524854,E06000050,Cheshire West and Chester,0.106339607,0.012502991,,58-63,J,Information & communication,Other
936,South Ribble,05-39 : Production,"Jones-Murphy, Gray, Smith, Clements, Norton",0-632k,1,United Kingdom,5.167633466,10.44787399,10.06091992,E07000126,South Ribble,14.74785948,0.116947685,,May-39,C,Production,Warehouse
937,Powys,55-56 : Accommodation & food services,"Murray-Hughes, Elliott, Kelly, West, Duffy-Kelly",0-632k,1,United Kingdom,0,12.80312472,7.071683437,W06000023,Powys,0.430944951,0.004787157,,55-56,I,Accommodation & food services,Other
938,Lewisham,58-63 : Information & communication,"Lawrence, Holt, Hodgson, Thomas, Cameron",0-632k,1,United Kingdom,0,23.13369773,28.27523847,E09000023,Lewisham,0.056231583,0.008218292,,58-63,J,Information & communication,Other
939,Halton,49-53 : Transport & Storage (inc. postal),"Chandler-Jackson, Brown-Wilkinson, Johnson, Thomas, Mason-Harrison",0-632k,1,United Kingdom,0.026960616,27.84968072,25.65507728,E06000006,Halton,0.367091378,1.121079107,,49-53,H,Transport & Storage (inc. postal),Warehouse
940,Westminster,68 : Property,"Jackson, Dixon-Knight, Green-Andrews, Morris, Spencer-King",0-632k,1,United Kingdom,0,2.740301931,1.76386359,E09000033,Westminster,0.047526047,0,,68,L,Property,Office
941,Tower Hamlets,49-53 : Transport & Storage (inc. postal),"Roberts-Smith, Hardy-Bull, Marsh-Stewart, Brookes Smith, Lee, Williams",0-632k,1,United Kingdom,0,6.658363373,2.60331324,E09000030,Tower Hamlets,0.09547693,0,,49-53,H,Transport & Storage (inc. postal),Shop
942,City of Edinburgh,47 : Retail,"Rose, Whitehouse, Poole, Jones-Morgan, Wilson-Taylor",0-632k,1,United Kingdom,,,,S12000036,City of Edinburgh,,,,47,G,Retail,Shop
943,Sandwell,85 : Education,"Harrison-Reid, Scott-Ball, Pritchard, Campbell Harris-Spencer",0-632k,1,United Kingdom,0,17.267925,20.17804906,E08000028,Sandwell,3.630146176,0,,85,P,Education,Office
944,Ards and North Down,58-63 : Information & communication,"O'Neill-Thompson, Brown, Howard-Turner, Mills, Gill-Lawrence",632k-10.2M,1,United Kingdom,,,,N09000011,Ards and North Down,,,,58-63,J,Information & communication,Warehouse
945,"Bristol, City of","69-75 : Professional, scientific & technical","Read-Carr, Shepherd, Hussain-Richardson, Archer-Smith Lyons-Ross",0-632k,1,United Kingdom,0,4.595917649,4.174958688,E06000023,"Bristol, City of",0.290983545,0,,69-75,M,"Professional, scientific & technical",Office
946,Oxford,"90-99 : Arts, entertainment, recreation & other","Price-Bailey, Evans, Taylor, Ball, Wallace",0-632k,1,United Kingdom,0,4.949326857,6.107954391,E07000178,Oxford,0.066093789,0,,90-99,S,"Arts, entertainment, recreation & other",Shop
947,Luton,47 : Retail,"Howe-Ellis, Williams, Potts, Hardy, Bennett",0-632k,1,United Kingdom,0,7.769942032,4.659972806,E06000032,Luton,0.760883683,0,,47,G,Retail,Office
948,Redbridge,58-63 : Information & communication,"Hartley, Robinson, Wood, Kemp, Harvey-Webb",0-632k,1,United Kingdom,0,3.813760063,3.709484321,E09000026,Redbridge,0.068257593,0,,58-63,J,Information & communication,Office
949,Harborough,49-53 : Transport & Storage (inc. postal),"Murphy-Page, Taylor, Rose, Dale, Atkinson-Kirk",0-632k,1,United Kingdom,0,22.62963334,23.38999204,E07000131,Harborough,0.240185885,0.616995851,,49-53,H,Transport & Storage (inc. postal),Other
950,Waltham Forest,46 : Wholesale,"Cook, Dale, Franklin, Thomson, Gardiner, Jones, Shaw",0-632k,1,United Kingdom,0,1.189949045,1.286891657,E09000031,Waltham Forest,0.141015122,0,,46,G,Wholesale,Shop
951,Manchester,"69-75 : Professional, scientific & technical","Turner-Newman, Thomas, Andrews, Goodwin, Hanson, Martin, Sullivan",632k-10.2M,1,United Kingdom,0,5.59919582,4.99858642,E08000003,Manchester,0.254471869,0,,69-75,M,"Professional, scientific & technical",Office
952,South Somerset,05-39 : Production,"Tomlinson-Williams, Hughes, Jones, Mitchell, Lamb, Hall, Barrett",0-632k,1,United Kingdom,0,27.24104984,21.88487678,E07000189,South Somerset,4.482552473,0.024851408,,May-39,C,Production,Other
953,St Albans,47 : Retail,"Rowe, Norman, Warren, Brooks, Wilson",0-632k,0,United Kingdom,0,2.077465213,2.933792591,E07000240,St Albans,0.30430035,0,,47,G,Retail,Shop
954,South Oxfordshire,"69-75 : Professional, scientific & technical","Thomas-Flynn, Jones, Ellis, Skinner, Charlton",0-632k,1,United Kingdom,0,5.162486084,2.847070745,E07000179,South Oxfordshire,0.180400476,0,,69-75,M,"Professional, scientific & technical",Shop
955,Uttlesford,41-43 : Construction,"Bradley, Farrell-Jones, Howells, Mahmood-Byrne Khan-Townsend",632k-10.2M,1,United Kingdom,0,4.481189476,3.162078445,E07000077,Uttlesford,0.314799512,0,,41-43,F,Construction,Office
956,Portsmouth,86-88 : Health,"Watson, Godfrey, Williams, Wells-Armstrong, Wong, Mitchell, Lees",0-632k,1,United Kingdom,0,2.981364148,1.894521043,E06000044,Portsmouth,0.457668325,0,,86-88,Q,Health,Shop
957,Westminster,55-56 : Accommodation & food services,"Morgan-Glover, Stevenson, Day, Rogers, Pope, McLean, Williams",0-632k,1,United Kingdom,0,2.259077706,1.999143624,E09000033,Westminster,0.169503758,0,,55-56,I,Accommodation & food services,Office
958,Belfast,55-56 : Accommodation & food services,"Holmes-Wood, Poole, Howells, Frost, Smith",0-632k,1,United Kingdom,,,,N09000003,Belfast,,,,55-56,I,Accommodation & food services,Warehouse
959,Leeds,47 : Retail,"Shaw-Murphy, Bailey-Freeman, Kirby, Murphy Turner",0-632k,0,United Kingdom,0,3.386310986,4.804079175,E08000035,Leeds,0.578054335,0,,47,G,Retail,Office
960,South Derbyshire,55-56 : Accommodation & food services,"Porter-Perry, Gregory, Thomas, Taylor Doyle-Macdonald",0-632k,1,United Kingdom,0,29.28629211,29.43133114,E07000039,South Derbyshire,1.790036163,0.116856607,,55-56,I,Accommodation & food services,Factory
961,Oadby and Wigston,"69-75 : Professional, scientific & technical","Nolan-May, Carter, Smith, Lee, Turner, Gibson, Jackson",0-632k,1,United Kingdom,0,2.514641998,2.164180001,E07000135,Oadby and Wigston,0.167175514,0,,69-75,M,"Professional, scientific & technical",Shop
962,Haringey,47 : Retail,"Morris, Wilson, Harrison, Harrison, Barrett-Bryan",0-632k,1,United Kingdom,0,16.90708007,14.59755243,E09000014,Haringey,1.089354447,0.312189189,,47,G,Retail,Factory
963,Cardiff,58-63 : Information & communication,"Davies, Griffiths, Higgins, Dennis, Mann-Clark",0-632k,1,United Kingdom,0,2.577073866,3.00263444,W06000015,Cardiff,0.060183162,0,,58-63,J,Information & communication,Shop
964,Leicester,46 : Wholesale,"Simpson-Peters, Jones, Lucas-Brown, Byrne, Smith-Elliott",0-632k,1,United Kingdom,0,10.89739079,20.18386563,E06000016,Leicester,1.102689914,0.31011883,,46,G,Wholesale,Factory
965,East Northamptonshire,49-53 : Transport & Storage (inc. postal),"Jones, Allen, Oliver, Thomas Thompson",0-632k,1,United Kingdom,0,2.822822783,1.797276384,E07000152,East Northamptonshire,0.132711274,0,,49-53,H,Transport & Storage (inc. postal),Shop
